Workshop Name,Workshop Rating,Professor Name,Student ID,Workshop Topic,Workshop Date,Duration,Location,Max Capacity,Registration Fee,Prerequisite,Feedback Comments,Technology Used,Workshop Type,Certificate,Student Major,Student Year,Attendance
Machine Learning: Re-Intermediate B2C E-Commerce,5.3,John Wilson,S6755,Cloud Computing,2023-07-11,2.4508022193571684,Room 101,90,54,Intermediate,Let paper mission executive.,Teams,Lecture,Yes,Data Science,Freshman,73
Python Programming: Empower Intuitive Schemas,9.6,Olivia Williams,S5300,Cloud Computing,2023-01-11,1.6916985164891694,Online-Teams,99,45,Intermediate,Itself sing property election evidence tough water.,Jupyter,Hands-On,Yes,Statistics,Junior,93
Python Programming: Harness Proactive Content,8.5,Lisa Johnson,S6004,Statistical Analysis,2023-09-26,2.714986370996946,Room 104,60,32,Intermediate,Must open everybody fact that major yard stand.,Teams,Discussion,No,Mathematics,Senior,35
Statistical Analysis: Synergize Innovative Web-Readiness,5.9,Michael Smith,S6159,Cloud Computing,2022-12-05,1.7182149313172304,Online-Zoom,81,100,Advanced,Class short company relate administration.,Jupyter,Discussion,No,Data Science,Senior,42
Ai Ethics: Incentivize Wireless Partnerships,7.2,Michael Wilson,S7874,Python Programming,2023-08-31,1.104510897784186,Online-Zoom,90,14,Intermediate,Protect animal responsibility become.,Jupyter,Lecture,Yes,Statistics,Sophomore,90
Statistical Analysis: Unleash Dynamic Channels,5.6,Emma Johnson,S9756,Data Visualization,2023-09-03,2.3899507885394775,Room 102,75,43,Intermediate,Bad enjoy east never.,Google Colab,Hands-On,No,Engineering,Freshman,64
Ai Ethics: Syndicate Wireless E-Services,8.3,Michael Miller,S5708,Python Programming,2023-03-19,1.6388621018730856,Room 102,83,45,Advanced,College police glass card wish specific.,Google Colab,Discussion,No,Computer Science,Senior,65
Python Programming: Enable Frictionless Web-Readiness,8.1,Olivia Davis,S1933,Data Science,2023-01-13,2.227739643128791,Online-Teams,86,14,Beginner,Soldier collection you event enjoy building.,Teams,Lecture,No,Statistics,Senior,83
Python Programming: Re-Contextualize Open-Source Systems,7.1,Emily Johnson,S3434,Data Science,2023-01-01,1.280850331987328,Room 101,73,58,Advanced,Ball seven research soon food point.,Jupyter,Lecture,Yes,Mathematics,Junior,44
Data Visualization: Orchestrate Strategic Methodologies,9.0,Emma Brown,S6722,Data Visualization,2023-09-06,2.1315982979198473,Room 103,14,21,Intermediate,Bag student without democratic.,Google Colab,Hands-On,Yes,Mathematics,Senior,14
Data Science: Disintermediate Viral Experiences,7.8,Olivia Wilson,S8225,Machine Learning,2022-12-23,1.30005354874268,Room 104,32,36,Advanced,Service hot speech physical teach.,Teams,Discussion,Yes,Data Science,Junior,29
Python Programming: Harness Global Bandwidth,7.7,Emily Williams,S3364,Python Programming,2023-04-21,2.0164271627999786,Room 101,69,35,Beginner,Consumer sound bring now protect.,Teams,Hands-On,No,Statistics,Senior,61
Machine Learning: Generate Collaborative Synergies,6.6,Robert Smith,S3448,Statistical Analysis,2023-09-04,1.7684981110232325,Room 102,85,95,Beginner,Exactly attention in rock.,Zoom,Lecture,No,Engineering,Junior,47
Data Visualization: Matrix Bricks-And-Clicks Web-Readiness,9.2,Emma Jones,S9928,Data Visualization,2023-07-18,2.14465453262629,Online-Zoom,93,7,Beginner,Risk enjoy without physical success friend.,Google Colab,Lecture,No,Engineering,Junior,83
Deep Learning: Synthesize Plug-And-Play E-Business,8.7,Lisa Jones,S4566,Cloud Computing,2023-06-29,1.5049823422624287,Online-Zoom,55,95,Intermediate,American scientist hold now.,Zoom,Hands-On,Yes,Data Science,Junior,54
Data Science: Re-Contextualize Virtual E-Services,9.6,John Wilson,S4521,Machine Learning,2022-11-09,2.3528278115943073,Room 105,51,39,Beginner,Until hand reality.,Teams,Hands-On,No,Computer Science,Sophomore,45
Machine Learning: Monetize Leading-Edge Deliverables,8.2,Michael Miller,S6536,Python Programming,2023-04-23,1.3405233583402567,Room 103,37,9,Advanced,Order western pretty policy.,Google Colab,Discussion,Yes,Data Science,Senior,22
Cloud Computing: Repurpose Collaborative Applications,6.9,Olivia Williams,S4930,Python Programming,2022-11-01,2.0202117584302286,Online-Teams,50,97,Intermediate,Reduce daughter write letter gas choose media.,Jupyter,Lecture,Yes,Data Science,Junior,34
Machine Learning: Expedite Seamless Supply-Chains,7.1,Olivia Jones,S6445,Data Visualization,2022-12-25,1.1348140660718948,Room 104,88,37,Intermediate,Shake sing mouth age just late peace.,Google Colab,Discussion,Yes,Statistics,Junior,53
Python Programming: Re-Contextualize B2B Mindshare,5.9,Michael Davis,S1670,Data Science,2023-05-30,1.3299972853687978,Room 101,26,25,Advanced,Plan fine wife.,Google Colab,Hands-On,Yes,Engineering,Sophomore,16
Cloud Computing: Mesh Scalable Users,6.4,David Jones,S5300,Data Visualization,2022-12-06,2.5605679776471684,Room 103,50,81,Beginner,Road mean general pass bag minute.,Google Colab,Lecture,Yes,Data Science,Freshman,50
Cloud Computing: Empower 24/365 E-Commerce,8.5,Olivia Smith,S7384,Statistical Analysis,2023-02-04,1.889137880424909,Room 104,69,64,Beginner,Walk produce into loss.,Teams,Hands-On,Yes,Engineering,Junior,40
Data Visualization: Whiteboard Mission-Critical Networks,5.3,Olivia Davis,S5654,Cloud Computing,2023-08-09,2.911699023405823,Online-Zoom,80,15,Beginner,Significant mention several sometimes little would everybody exactly.,Google Colab,Hands-On,Yes,Engineering,Freshman,76
Statistical Analysis: Brand Virtual Content,6.1,David Wilson,S9687,Data Science,2022-12-30,1.6268571272946941,Room 102,27,98,Beginner,Understand good figure manage space move child security.,Teams,Discussion,No,Computer Science,Sophomore,13
Data Visualization: Benchmark Front-End Methodologies,7.1,Emily Jones,S8329,Data Science,2023-05-12,1.323262687650261,Room 105,74,9,Intermediate,Claim enter score wish skin attention.,Jupyter,Lecture,Yes,Computer Science,Junior,59
Data Visualization: Harness Cross-Media Metrics,7.4,Emily Williams,S2388,Deep Learning,2022-11-05,2.1596241556824314,Room 105,54,22,Intermediate,Tree just need the expert.,Teams,Lecture,No,Engineering,Freshman,48
Data Visualization: Enable Extensible Communities,5.1,Emma Smith,S4835,Deep Learning,2022-11-19,1.968937816986739,Room 105,33,87,Intermediate,Mr who space recognize station size bad although.,Jupyter,Lecture,No,Mathematics,Senior,33
Python Programming: Brand Clicks-And-Mortar Web Services,8.3,Lisa Williams,S7819,Data Science,2023-08-03,2.952605512664638,Room 103,72,8,Beginner,Hope table wrong more film building parent.,Teams,Hands-On,Yes,Engineering,Sophomore,63
Machine Learning: Revolutionize Extensible E-Markets,6.8,Emma Smith,S9235,Statistical Analysis,2023-01-25,2.157884791315906,Room 104,10,94,Intermediate,With skill arrive television similar.,Google Colab,Hands-On,No,Statistics,Freshman,8
Ai Ethics: Orchestrate Distributed Mindshare,5.5,David Wilson,S8945,Machine Learning,2023-05-06,1.7363938440930826,Room 101,59,9,Intermediate,Difference keep win sister eat able network.,Teams,Hands-On,Yes,Statistics,Junior,45
Ai Ethics: Deploy Cross-Media Bandwidth,7.7,David Miller,S3295,AI Ethics,2023-09-19,2.669353476778067,Room 103,10,91,Advanced,Everything head local serve.,Jupyter,Lecture,Yes,Computer Science,Senior,6
Cloud Computing: Syndicate Killer Schemas,5.9,Emma Brown,S7874,Statistical Analysis,2023-05-27,1.0107123495987762,Online-Zoom,30,37,Intermediate,Decade own represent area ahead.,Jupyter,Discussion,Yes,Mathematics,Senior,23
Machine Learning: Incubate Visionary Users,8.8,Lisa Williams,S6365,Statistical Analysis,2023-03-02,2.379029184697939,Room 102,64,28,Intermediate,Government dog too night list.,Google Colab,Discussion,No,Data Science,Freshman,38
Statistical Analysis: Deliver Efficient Supply-Chains,6.5,Emma Wilson,S2995,Python Programming,2023-09-10,1.6300028264460262,Room 103,42,69,Advanced,Claim I sing year poor thought young wear.,Google Colab,Hands-On,Yes,Computer Science,Sophomore,41
Ai Ethics: Re-Intermediate Seamless E-Commerce,6.8,John Wilson,S9712,Machine Learning,2023-02-05,2.2271315792163526,Room 102,33,15,Beginner,Cold pull for artist.,Google Colab,Lecture,Yes,Computer Science,Junior,21
Python Programming: Streamline Wireless Supply-Chains,9.1,Olivia Smith,S9633,Data Science,2023-07-14,2.23412148463079,Online-Zoom,47,50,Advanced,Involve probably detail west interest lawyer thus.,Zoom,Discussion,Yes,Data Science,Junior,40
Cloud Computing: Re-Intermediate Distributed Infrastructures,7.0,John Brown,S1828,Deep Learning,2023-09-17,1.553040629036603,Room 104,79,49,Beginner,Forward officer of international key financial.,Google Colab,Lecture,Yes,Engineering,Freshman,62
Machine Learning: Strategize Scalable Experiences,10.0,Lisa Wilson,S7159,Data Science,2023-08-20,1.8492551188535538,Room 103,76,88,Beginner,Million laugh study.,Teams,Hands-On,No,Engineering,Sophomore,48
Cloud Computing: Facilitate Distributed Web Services,7.7,David Johnson,S9935,Data Science,2023-05-09,2.9539724455430374,Room 101,13,70,Beginner,Gun break respond answer resource.,Google Colab,Discussion,No,Mathematics,Freshman,12
Deep Learning: Exploit Integrated Bandwidth,9.7,Emma Davis,S8690,Python Programming,2023-06-10,2.6094652192036865,Room 101,40,71,Intermediate,Physical Democrat third industry parent bit.,Google Colab,Lecture,No,Data Science,Sophomore,40
Python Programming: Morph 24/7 E-Tailers,9.4,David Miller,S8715,Machine Learning,2023-02-21,2.872223093576041,Room 104,73,90,Advanced,Rock maybe democratic eat idea.,Zoom,Lecture,Yes,Mathematics,Freshman,66
Ai Ethics: Empower End-To-End Models,6.5,David Wilson,S6744,Python Programming,2022-12-14,1.6602544702050728,Online-Zoom,43,55,Beginner,Condition spring your daughter.,Zoom,Lecture,No,Engineering,Senior,23
Statistical Analysis: Implement E-Business Web-Readiness,9.3,Emma Brown,S9602,Cloud Computing,2023-04-03,1.2384058223298688,Online-Teams,90,74,Advanced,Act under class this enter worry attack.,Jupyter,Discussion,No,Engineering,Sophomore,58
Data Visualization: Embrace Dot-Com Networks,5.1,Lisa Brown,S8931,Data Science,2022-12-18,2.935339475866913,Room 105,50,75,Intermediate,Push understand across type during moment management wear.,Jupyter,Discussion,Yes,Data Science,Sophomore,48
Statistical Analysis: Expedite User-Centric Models,8.0,Robert Smith,S1420,Data Science,2023-02-27,2.1545492105612594,Online-Zoom,89,14,Beginner,Several simply technology allow believe thank pattern.,Jupyter,Hands-On,No,Computer Science,Sophomore,75
Ai Ethics: Synthesize Killer Mindshare,8.5,David Williams,S1777,Deep Learning,2023-02-05,2.282430318112866,Online-Teams,93,91,Intermediate,Research issue reflect growth painting care.,Google Colab,Discussion,No,Engineering,Freshman,49
Machine Learning: Revolutionize Mission-Critical E-Business,9.9,David Johnson,S2754,Cloud Computing,2023-06-07,2.1776405285746625,Online-Zoom,26,14,Advanced,Forward wife week natural along.,Teams,Hands-On,No,Mathematics,Senior,25
Data Science: Facilitate Compelling Technologies,7.4,Emma Smith,S3030,Data Science,2023-09-01,1.8498956318928317,Room 104,47,71,Beginner,Century development agreement.,Zoom,Lecture,Yes,Mathematics,Senior,44
Ai Ethics: Scale Wireless Solutions,9.4,Olivia Brown,S9169,Cloud Computing,2023-01-25,1.0643131359519895,Room 105,94,18,Beginner,Wish popular field mission away room.,Google Colab,Hands-On,Yes,Computer Science,Sophomore,94
Data Visualization: Optimize Back-End Metrics,5.0,David Miller,S6338,AI Ethics,2023-07-23,1.215861466511928,Room 103,25,83,Intermediate,Sister teacher cost citizen about star public top.,Zoom,Discussion,Yes,Engineering,Sophomore,16
Cloud Computing: Optimize Integrated Experiences,7.1,Michael Williams,S2020,Cloud Computing,2023-03-01,2.2631745882835204,Room 105,99,57,Advanced,Of find small personal another.,Teams,Discussion,No,Computer Science,Sophomore,51
Data Visualization: Exploit Ubiquitous Deliverables,9.2,David Davis,S6072,Python Programming,2023-06-25,2.6879256903227455,Online-Zoom,38,81,Intermediate,Air have answer him general town.,Teams,Discussion,No,Computer Science,Senior,36
Data Science: Streamline Scalable Platforms,9.5,Robert Miller,S8338,Python Programming,2023-02-25,1.8674631666072203,Room 103,18,72,Beginner,Sort against significant hundred form newspaper.,Zoom,Lecture,No,Engineering,Freshman,9
Data Science: Innovate Cutting-Edge E-Commerce,7.9,Michael Williams,S9559,Deep Learning,2023-07-31,1.2177373216934886,Room 102,28,18,Intermediate,Sport ask one not moment usually civil.,Jupyter,Discussion,No,Data Science,Junior,26
Data Visualization: Mesh Collaborative Platforms,9.8,David Smith,S3289,Cloud Computing,2023-04-07,1.412960771658798,Room 104,17,73,Advanced,Kind world well ball feel.,Zoom,Discussion,No,Computer Science,Junior,8
Data Science: Syndicate Granular Applications,5.8,John Miller,S1450,Statistical Analysis,2022-12-26,1.8240738707141049,Room 105,81,1,Beginner,Base their performance same big official recent.,Jupyter,Lecture,No,Data Science,Junior,45
Statistical Analysis: Empower Synergistic Schemas,5.6,Emily Brown,S6669,AI Ethics,2023-02-19,2.4992680310284188,Room 102,36,52,Advanced,Section paper term could miss wrong.,Google Colab,Discussion,Yes,Computer Science,Sophomore,20
Data Science: Synergize Cross-Media Initiatives,8.8,Emily Smith,S2240,Deep Learning,2022-11-14,2.9364418599745337,Room 105,78,98,Advanced,Other add laugh provide much her prevent.,Zoom,Discussion,Yes,Data Science,Freshman,74
Machine Learning: Aggregate Dynamic Interfaces,8.1,Michael Davis,S7246,Data Science,2023-03-17,2.1940024847798467,Online-Teams,50,96,Advanced,Fire will military glass major sit.,Teams,Discussion,No,Engineering,Junior,42
Ai Ethics: Benchmark Innovative Supply-Chains,6.3,Emily Johnson,S9770,Statistical Analysis,2023-10-06,1.7028341676657452,Room 101,71,5,Beginner,First although benefit school green.,Google Colab,Lecture,No,Data Science,Senior,58
Python Programming: Mesh Intuitive Networks,6.9,Michael Johnson,S1059,AI Ethics,2023-06-29,1.1429382046985148,Room 105,92,68,Beginner,Suddenly enough fund ever along suggest.,Zoom,Discussion,No,Statistics,Sophomore,50
Data Visualization: Disintermediate Granular Applications,8.7,Michael Johnson,S6269,Data Visualization,2023-08-15,2.517531221059072,Online-Teams,87,50,Advanced,Up foot knowledge also fire indeed son prove.,Google Colab,Discussion,Yes,Statistics,Sophomore,79
Statistical Analysis: Reinvent Dot-Com Bandwidth,10.0,Lisa Brown,S8013,AI Ethics,2023-06-26,1.975733153854666,Room 103,32,22,Beginner,Once event read fall mean Mrs compare.,Zoom,Hands-On,No,Statistics,Junior,26
Cloud Computing: Visualize Holistic Communities,6.0,Michael Smith,S3508,Cloud Computing,2023-06-05,2.4290413034863185,Room 105,26,92,Intermediate,Address home amount result necessary lead.,Zoom,Hands-On,Yes,Statistics,Senior,14
Machine Learning: Synthesize Bricks-And-Clicks Partnerships,9.2,David Williams,S4527,Cloud Computing,2023-02-06,2.9437678886374936,Room 103,15,37,Intermediate,Here car southern direction piece expert catch.,Teams,Lecture,Yes,Mathematics,Freshman,9
Ai Ethics: Grow Extensible E-Commerce,8.3,Emily Johnson,S2463,Statistical Analysis,2023-07-08,1.378380639068183,Room 103,23,69,Beginner,Something necessary art decade.,Google Colab,Discussion,Yes,Mathematics,Senior,12
Machine Learning: Engage Best-Of-Breed Portals,8.2,Robert Jones,S7422,Python Programming,2023-10-09,1.6541467487433037,Online-Teams,47,31,Advanced,Real major move good ok fear recently.,Zoom,Lecture,Yes,Data Science,Junior,38
Deep Learning: Extend Clicks-And-Mortar Action-Items,6.6,Lisa Wilson,S8417,AI Ethics,2023-03-12,1.6365379894403718,Room 104,98,73,Advanced,Magazine inside light week good nothing well should.,Zoom,Discussion,Yes,Engineering,Senior,56
Python Programming: Synthesize Extensible Bandwidth,8.8,Lisa Johnson,S9131,Python Programming,2023-05-23,1.0637497776411626,Online-Teams,58,58,Advanced,Others build today watch whether leader beat.,Teams,Hands-On,Yes,Data Science,Freshman,53
Data Science: Seize B2B Roi,8.8,John Smith,S2850,Machine Learning,2023-01-30,2.754936393050862,Online-Teams,36,71,Advanced,Just worker street news reach ever commercial.,Jupyter,Lecture,Yes,Mathematics,Senior,19
Data Visualization: Redefine Interactive Networks,9.6,Emma Brown,S3904,Deep Learning,2023-05-09,1.9277072398113275,Room 102,20,5,Beginner,Various structure so stage.,Zoom,Lecture,Yes,Computer Science,Freshman,14
Statistical Analysis: Iterate Visionary Networks,5.4,Robert Smith,S4286,Machine Learning,2023-03-25,2.9177115739040387,Online-Zoom,39,51,Beginner,What staff thing choice attorney city provide.,Teams,Hands-On,No,Mathematics,Senior,28
Machine Learning: Aggregate Dynamic Info-Mediaries,9.1,Emma Wilson,S7967,Data Science,2023-04-25,2.07816341704478,Room 105,59,8,Advanced,Seat spend summer big arrive speak.,Zoom,Hands-On,Yes,Statistics,Junior,45
Machine Learning: Seize Cross-Platform Web-Readiness,6.6,David Jones,S3336,Cloud Computing,2023-10-02,1.1473210787787218,Room 105,11,68,Beginner,Present less part effort road much option.,Jupyter,Hands-On,Yes,Mathematics,Freshman,6
Data Science: Whiteboard Plug-And-Play Systems,7.6,Michael Wilson,S2421,Data Visualization,2023-03-05,2.8939327811789877,Room 101,73,81,Advanced,Goal must region network magazine budget.,Jupyter,Lecture,Yes,Data Science,Junior,50
Ai Ethics: Engineer Cutting-Edge Niches,9.5,Emma Johnson,S6711,Machine Learning,2023-01-23,2.3505828677294702,Room 101,11,89,Intermediate,Attorney exactly life.,Zoom,Lecture,No,Data Science,Senior,11
Statistical Analysis: Transform Clicks-And-Mortar Mindshare,8.1,Michael Davis,S7574,Data Science,2022-11-06,1.4969736452119797,Room 101,25,29,Intermediate,Book cover bed sign his foreign.,Zoom,Hands-On,Yes,Mathematics,Senior,22
Statistical Analysis: Benchmark Revolutionary Interfaces,5.1,Michael Smith,S6527,Cloud Computing,2022-10-15,2.488230908629647,Room 104,77,94,Intermediate,Better just decade visit.,Zoom,Hands-On,No,Computer Science,Freshman,40
Machine Learning: Facilitate Magnetic Communities,9.5,Emma Williams,S1437,Cloud Computing,2022-12-14,1.6148371360137466,Room 102,34,71,Beginner,Conference wait rise management everything study.,Zoom,Hands-On,No,Data Science,Sophomore,19
Deep Learning: Maximize Back-End Infrastructures,10.0,Robert Miller,S5329,AI Ethics,2022-12-28,1.1103698199541996,Room 104,42,10,Advanced,Garden choice use save doctor for step.,Zoom,Hands-On,No,Statistics,Freshman,27
Ai Ethics: Orchestrate Holistic Markets,8.6,Emily Brown,S8794,Machine Learning,2023-05-18,2.820058641502152,Room 105,56,15,Intermediate,Late school difference region.,Teams,Lecture,No,Computer Science,Freshman,29
Statistical Analysis: Visualize B2C Functionalities,7.6,Emily Miller,S3865,Data Visualization,2023-01-07,1.015440570021171,Room 104,42,64,Advanced,Total can word nearly argue.,Teams,Lecture,Yes,Mathematics,Junior,22
Deep Learning: Re-Contextualize Cross-Media Platforms,6.8,Emma Davis,S2646,Python Programming,2023-02-07,1.652260251205323,Online-Teams,78,34,Intermediate,Maybe police size beyond quite prepare degree.,Google Colab,Discussion,No,Computer Science,Freshman,75
Statistical Analysis: Empower Enterprise E-Markets,8.8,Emma Williams,S9963,Statistical Analysis,2023-09-15,1.8085412491121138,Room 102,67,32,Beginner,List product change bit apply.,Teams,Hands-On,No,Data Science,Sophomore,34
Data Visualization: Deliver Enterprise Methodologies,7.0,Lisa Jones,S5177,AI Ethics,2023-01-22,2.3127123924462736,Room 104,93,27,Advanced,Describe house attorney say cup.,Teams,Discussion,No,Statistics,Junior,87
Machine Learning: Implement 24/7 Eyeballs,7.7,Michael Williams,S1194,Deep Learning,2023-04-01,2.8832502195549647,Online-Zoom,40,61,Intermediate,Page she indicate training by painting.,Google Colab,Hands-On,No,Computer Science,Sophomore,39
Data Science: Deploy Virtual Niches,9.8,Robert Jones,S1858,Statistical Analysis,2023-03-28,1.145000689112022,Room 104,32,64,Beginner,Ahead method wait few produce activity bed.,Zoom,Hands-On,Yes,Computer Science,Freshman,32
Cloud Computing: Innovate Synergistic Communities,6.5,Michael Jones,S2501,Python Programming,2023-05-28,1.7930816983634876,Room 104,15,70,Intermediate,Argue soldier approach marriage.,Teams,Hands-On,No,Statistics,Sophomore,10
Data Visualization: Re-Contextualize Bricks-And-Clicks Mindshare,9.5,Emma Miller,S3172,AI Ethics,2022-12-06,2.06763366024607,Room 104,70,90,Advanced,Score especially production wait.,Zoom,Discussion,Yes,Computer Science,Freshman,59
Machine Learning: Iterate Global Mindshare,8.4,John Jones,S9035,Data Science,2023-02-09,1.2528654627407165,Room 105,39,57,Beginner,Century ground likely two offer although blood.,Google Colab,Discussion,No,Data Science,Sophomore,21
Ai Ethics: Disintermediate Value-Added Functionalities,9.9,Olivia Miller,S3389,Deep Learning,2023-05-11,1.9824726785347588,Room 101,14,89,Advanced,Consider able ground deep.,Zoom,Lecture,Yes,Statistics,Sophomore,10
Data Visualization: Embrace Sticky Niches,9.1,Emma Miller,S3013,Cloud Computing,2023-05-21,2.6436919353428,Room 101,38,40,Intermediate,Machine member thousand day.,Zoom,Lecture,No,Mathematics,Sophomore,21
Python Programming: Aggregate Cross-Platform Content,8.8,Olivia Brown,S7487,Statistical Analysis,2023-06-25,1.0458177134013167,Online-Teams,91,50,Beginner,Face network decade degree risk plan.,Teams,Discussion,Yes,Computer Science,Senior,70
Data Science: Syndicate Rich Systems,5.2,Lisa Smith,S5848,Statistical Analysis,2023-01-15,1.515591765161943,Room 101,51,3,Beginner,Thing more subject she idea.,Google Colab,Discussion,No,Statistics,Sophomore,25
